arxiv_id,title,primary_category,used_num_times
2302.12026v1,Probing chiral-even and chiral-odd leading twist quark generalised parton distributions through the exclusive photoproduction of a $ γρ $ pair,hep-ph,5
2303.00677v2,Improved Analysis of the Breakup Corrections to the High Energy $^3$He Beam Polarization measurements with HJET,hep-ph,5
2303.02579v1,The Present and Future of QCD,hep-ph,5
2303.05182v2,Inclusive and diffractive dijet photoproduction at the Electron-Ion Collider in NLO QCD,hep-ph,5
2303.08143v1,Imaging Cold Nuclear Matter with Energy Correlators,hep-ph,5
2303.09015v1,The Sivers asymmetry in charged Kaon and $Λ$ hyperon produced SIDIS process at electron ion colliders,hep-ph,5
2303.10409v3,Optically Pumped Polarized $^3$He$^{++}$ Ion Source Development for RHIC/EIC,physics.ins-det,5
2303.10776v2,Separation of electrons from pions in GEM TRD using deep learning,physics.ins-det,5
2303.15670v1,Diffractive scattering at next-to-leading order in the dipole picture,hep-ph,5
2303.17532v2,Small-$x$ Quark and Gluon Helicity Contributions to the Proton Spin Puzzle,hep-ph,5
2304.01810v1,The Tensor Pomeron and Low-x Deeply Virtual Compton Scattering,hep-ph,5
2304.04604v3,Probing Gluons at the Spin Physics Detector,hep-ex,5
2304.05784v1,"Accessing the gluon GTMD $\boldsymbol{F_{1,4}}$ in exclusive $\boldsymbol{π^0}$ production in $\boldsymbol{ep}$ collisions",hep-ph,5
2304.14970v1,Generalized Parton Distributions from Lattice QCD,hep-lat,5
2305.02079v2,Pixel-based tracking detectors for a Low Q2 Tagger at EIC -- status report,physics.ins-det,5
2305.04274v1,Double DVCS as a window to the complete mapping of GPDs,hep-ph,5
2305.06775v1,Large-Aperture High-Field NB3SN Magnets for the 2nd EIC Interaction Region*,physics.acc-ph,5
2305.13099v2,Breakup corrections to spin asymmetries in the $^3$He beam polarization measurements with the Polarized Atomic Hydrogen Gas Jet Target,hep-ph,5
2305.14572v1,The case for an EIC Theory Alliance: Theoretical Challenges of the EIC,hep-ph,5
2305.15461v2,Transverse Momentum Distributions of Heavy Hadrons and Polarized Heavy Quarks,hep-ph,5
2305.15593v1,Latest vertex and tracking detector developments for the future Electron-Ion Collider,physics.ins-det,5
2305.15880v2,Predicting the Exclusive Diffractive Electron-Ion Cross Section at small $x$ with Machine Learning in Sar$t$re,hep-ph,5
2306.00097v1,Complete Formalism of Cross Sections and Asymmetries for Longitudinally and Transversely Polarized Leptons and Hadrons in Deep Inelastic Scattering,hep-ph,5
2306.00754v1,Exclusive $η_c$ production by $γ^{*} γ$ interactions in electron-ion collisions,hep-ph,5
2306.02357v1,Deeply Virtual Compton Scattering at Future Electron-Ion Colliders,hep-ph,5
2306.05525v1,Exploration of hadronization through heavy flavor production at the future Electron-Ion Collider,hep-ph,5
2306.05564v1,SMEFT probes in future precision DIS experiments,hep-ph,5
2306.09813v1,Leading $Λ$ production in future electron-proton colliders,hep-ph,5
2306.14463v2,Azimuthal asymmetries in $D$-meson and jet production at the EIC,hep-ph,5
2306.17513v1,Searching for saturation in forward dijet production at the LHC,hep-ph,5
2307.00102v2,Displaced Signals of Hidden Vectors at the Electron-Ion Collider,hep-ph,5
2307.01183v2,Extraction of the strong coupling with HERA and EIC inclusive data,hep-ph,5
2307.02359v1,Transverse $Λ$ polarization in $e^+e^-$ annihilations and in SIDIS processes at the EIC within TMD factorization,hep-ph,5
2307.04185v1,Parton shower algorithm with saturation effect,hep-ph,5
2307.05967v1,"Towards an integrated determination of proton, deuteron and nuclear PDFs",hep-ph,5
2307.08593v1,Artificial Intelligence for the Electron Ion Collider (AI4EIC),physics.acc-ph,5
2307.09459v1,"SMEFT analysis with LHeC, FCC-eh, and EIC DIS pseudodata",hep-ph,5
2307.12531v1,A Few-Degree Calorimeter for the future Electron-Ion Collider,physics.ins-det,5
2307.16245v2,Bremsstrahlung Cross Section with Polarized Beams for Luminosity Determination at the EIC,hep-ph,5
2307.16486v1,Rapidity gap distribution of diffractive small-$x_{I\hspace{-0.3em}P}$ events at HERA and at the EIC,hep-ph,5
2308.00028v1,A Formalism for Extracting Track Functions from Jet Measurements,hep-ph,5
2308.03393v1,Probing the high-energy dynamics of QCD: selected theoretical and phenomenological studies,hep-ph,5
2308.04644v1,Gravitational form factors of the proton from near-threshold vector meson photoproduction,hep-ph,5
2308.07091v1,Coherently diffractive dissociation in electron-hadron collisions: from HERA to the future EIC,hep-ph,5
2308.07461v1,Global analysis of polarized DIS & SIDIS data with improved small-$x$ helicity evolution,hep-ph,5
2308.10478v1,Modeling Backward-Angle ($u$-channel) Virtual Compton Scattering at an Electron-Ion Collider,hep-ph,5
2309.00818v1,Beam Test of the First Prototype of SiPM-on-Tile Calorimeter Insert for the Electron-Ion Collider Using 4 GeV Positrons at Jefferson Laboratory,physics.ins-det,5
2309.02910v1,Solutions to the Balitsky-Kovchegov equation including the dipole orientation,hep-ph,5
2309.06561v2,Pilot bunch and co-magnetometry of polarized particles stored in a ring,physics.ins-det,5
2309.06638v1,Generalized threshold of longitudinal multi-bunch instability in synchrotrons,physics.acc-ph,5
2309.09748v1,Exclusive photoproduction of $D$-meson pairs with large invariant mass,hep-ph,5
2309.16056v1,Optimization of Magnetized Electron Cooling with JSPEC,physics.acc-ph,5
2310.04123v1,Probing the hidden-bottom pentaquark resonances in photonuclear bottomonium production near threshold: differential observables,hep-ph,5
2310.04442v1,The Optimal use of Segmentation for Sampling Calorimeters,physics.ins-det,5
2310.08827v1,Probing axion-like particles at the Electron-Ion Collider,hep-ph,5
2310.11066v1,Diffractive single hadron production in a saturation framework at the NLO,hep-ph,5
2310.16308v1,Diffusion model approach to simulating electron-proton scattering events,hep-ph,5
2310.19358v2,Extraction of information on transversity GPDs from $π^0$ and $η$ production on EIC of China,hep-ph,5
2310.19916v1,Spectator-model studies for spin-dependent gluon TMD PDFs at the LHC and EIC,hep-ph,5
2311.00383v1,Diffractive single and di-hadron production at the NLO in a saturation framework,hep-ph,5
2311.00672v1,Polarized fragmenting jet functions in Inclusive and Exclusive Jet Production,hep-ph,5
2311.08292v1,Photoproduction of fully-charmed tetraquark at electron-ion colliders,hep-ph,5
2311.10491v1,Inferring the initial condition for the Balitsky-Kovchegov equation,hep-ph,5
